age,workclass,fnlwgt,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
39,state_gov,77516,bachelors,never_married,adm_clerical,not_in_family,white,male,2174,0,40,united_states,<=50K
50,self_emp_not_inc,83311,bachelors,married_civ_spouse,exec_managerial,husband,white,male,0,0,13,united_states,<=50K
38,private,215646,hs_grad,divorced,handlers_cleaners,not_in_family,white,male,0,0,40,united_states,<=50K
53,private,234721,11th,married_civ_spouse,handlers_cleaners,husband,black,male,0,0,40,united_states,<=50K
28,private,338409,bachelors,married_civ_spouse,prof_specialty,wife,black,female,0,0,40,cuba,<=50K
37,private,284582,masters,married_civ_spouse,exec_managerial,wife,white,female,0,0,40,united_states,<=50K
49,private,160187,9th,married_spouse_absent,other_service,not_in_family,black,female,0,0,16,jamaica,<=50K
52,self_emp_not_inc,209642,hs_grad,married_civ_spouse,exec_managerial,husband,white,male,0,0,45,united_states,>50K
31,private,45781,masters,never_married,prof_specialty,not_in_family,white,female,14084,0,50,united_states,>50K
42,private,159449,bachelors,married_civ_spouse,exec_managerial,husband,white,male,5178,0,40,united_states,>50K
37,private,280464,some_college,married_civ_spouse,exec_managerial,husband,black,male,0,0,80,united_states,>50K
30,state_gov,141297,bachelors,married_civ_spouse,prof_specialty,husband,asian_pac_islander,male,0,0,40,india,>50K
23,private,122272,bachelors,never_married,adm_clerical,own_child,white,female,0,0,30,united_states,<=50K
32,private,205019,assoc_acdm,never_married,sales,not_in_family,black,male,0,0,50,united_states,<=50K
40,private,121772,assoc_voc,married_civ_spouse,craft_repair,husband,asian_pac_islander,male,0,0,40,unknown,>50K
34,private,245487,7th_8th,married_civ_spouse,transport_moving,husband,amer_indian_eskimo,male,0,0,45,mexico,<=50K
25,self_emp_not_inc,176756,hs_grad,never_married,farming_fishing,own_child,white,male,0,0,35,united_states,<=50K
32,private,186824,hs_grad,never_married,machine_op_inspct,unmarried,white,male,0,0,40,united_states,<=50K
38,private,28887,11th,married_civ_spouse,sales,husband,white,male,0,0,50,united_states,<=50K
43,self_emp_not_inc,292175,masters,divorced,exec_managerial,unmarried,white,female,0,0,45,united_states,>50K
40,private,193524,doctorate,married_civ_spouse,prof_specialty,husband,white,male,0,0,60,united_states,>50K
54,private,302146,hs_grad,separated,other_service,unmarried,black,female,0,0,20,united_states,<=50K
35,federal_gov,76845,9th,married_civ_spouse,farming_fishing,husband,black,male,0,0,40,united_states,<=50K
43,private,117037,11th,married_civ_spouse,transport_moving,husband,white,male,0,2042,40,united_states,<=50K
59,private,109015,hs_grad,divorced,tech_support,unmarried,white,female,0,0,40,united_states,<=50K
56,local_gov,216851,bachelors,married_civ_spouse,tech_support,husband,white,male,0,0,40,united_states,>50K
19,private,168294,hs_grad,never_married,craft_repair,own_child,white,male,0,0,40,united_states,<=50K
54,unknown,180211,some_college,married_civ_spouse,unknown,husband,asian_pac_islander,male,0,0,60,south,>50K
39,private,367260,hs_grad,divorced,exec_managerial,not_in_family,white,male,0,0,80,united_states,<=50K
49,private,193366,hs_grad,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,<=50K
23,local_gov,190709,assoc_acdm,never_married,protective_serv,not_in_family,white,male,0,0,52,united_states,<=50K
20,private,266015,some_college,never_married,sales,own_child,black,male,0,0,44,united_states,<=50K
45,private,386940,bachelors,divorced,exec_managerial,own_child,white,male,0,1408,40,united_states,<=50K
30,federal_gov,59951,some_college,married_civ_spouse,adm_clerical,own_child,white,male,0,0,40,united_states,<=50K
22,state_gov,311512,some_college,married_civ_spouse,other_service,husband,black,male,0,0,15,united_states,<=50K
48,private,242406,11th,never_married,machine_op_inspct,unmarried,white,male,0,0,40,puerto_rico,<=50K
21,private,197200,some_college,never_married,machine_op_inspct,own_child,white,male,0,0,40,united_states,<=50K
19,private,544091,hs_grad,married_af_spouse,adm_clerical,wife,white,female,0,0,25,united_states,<=50K
31,private,84154,some_college,married_civ_spouse,sales,husband,white,male,0,0,38,unknown,>50K
48,self_emp_not_inc,265477,assoc_acdm,married_civ_spouse,prof_specialty,husband,white,male,0,0,40,united_states,<=50K
31,private,507875,9th,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,43,united_states,<=50K
53,self_emp_not_inc,88506,bachelors,married_civ_spouse,prof_specialty,husband,white,male,0,0,40,united_states,<=50K
24,private,172987,bachelors,married_civ_spouse,tech_support,husband,white,male,0,0,50,united_states,<=50K
49,private,94638,hs_grad,separated,adm_clerical,unmarried,white,female,0,0,40,united_states,<=50K
25,private,289980,hs_grad,never_married,handlers_cleaners,not_in_family,white,male,0,0,35,united_states,<=50K
57,federal_gov,337895,bachelors,married_civ_spouse,prof_specialty,husband,black,male,0,0,40,united_states,>50K
53,private,144361,hs_grad,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,38,united_states,<=50K
44,private,128354,masters,divorced,exec_managerial,unmarried,white,female,0,0,40,united_states,<=50K
41,state_gov,101603,assoc_voc,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,<=50K
29,private,271466,assoc_voc,never_married,prof_specialty,not_in_family,white,male,0,0,43,united_states,<=50K
25,private,32275,some_college,married_civ_spouse,exec_managerial,wife,other,female,0,0,40,united_states,<=50K
18,private,226956,hs_grad,never_married,other_service,own_child,white,female,0,0,30,unknown,<=50K
47,private,51835,prof_school,married_civ_spouse,prof_specialty,wife,white,female,0,1902,60,honduras,>50K
50,federal_gov,251585,bachelors,divorced,exec_managerial,not_in_family,white,male,0,0,55,united_states,>50K
47,self_emp_inc,109832,hs_grad,divorced,exec_managerial,not_in_family,white,male,0,0,60,united_states,<=50K
43,private,237993,some_college,married_civ_spouse,tech_support,husband,white,male,0,0,40,united_states,>50K
46,private,216666,5th_6th,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,40,mexico,<=50K
35,private,56352,assoc_voc,married_civ_spouse,other_service,husband,white,male,0,0,40,puerto_rico,<=50K
41,private,147372,hs_grad,married_civ_spouse,adm_clerical,husband,white,male,0,0,48,united_states,<=50K
30,private,188146,hs_grad,married_civ_spouse,machine_op_inspct,husband,white,male,5013,0,40,united_states,<=50K
30,private,59496,bachelors,married_civ_spouse,sales,husband,white,male,2407,0,40,united_states,<=50K
32,unknown,293936,7th_8th,married_spouse_absent,unknown,not_in_family,white,male,0,0,40,unknown,<=50K
48,private,149640,hs_grad,married_civ_spouse,transport_moving,husband,white,male,0,0,40,united_states,<=50K
42,private,116632,doctorate,married_civ_spouse,prof_specialty,husband,white,male,0,0,45,united_states,>50K
29,private,105598,some_college,divorced,tech_support,not_in_family,white,male,0,0,58,united_states,<=50K
36,private,155537,hs_grad,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,<=50K
28,private,183175,some_college,divorced,adm_clerical,not_in_family,white,female,0,0,40,united_states,<=50K
53,private,169846,hs_grad,married_civ_spouse,adm_clerical,wife,white,female,0,0,40,united_states,>50K
49,self_emp_inc,191681,some_college,married_civ_spouse,exec_managerial,husband,white,male,0,0,50,united_states,>50K
25,unknown,200681,some_college,never_married,unknown,own_child,white,male,0,0,40,united_states,<=50K
19,private,101509,some_college,never_married,prof_specialty,own_child,white,male,0,0,32,united_states,<=50K
31,private,309974,bachelors,separated,sales,own_child,black,female,0,0,40,united_states,<=50K
29,self_emp_not_inc,162298,bachelors,married_civ_spouse,sales,husband,white,male,0,0,70,united_states,>50K
23,private,211678,some_college,never_married,machine_op_inspct,not_in_family,white,male,0,0,40,united_states,<=50K
79,private,124744,some_college,married_civ_spouse,prof_specialty,other_relative,white,male,0,0,20,united_states,<=50K
27,private,213921,hs_grad,never_married,other_service,own_child,white,male,0,0,40,mexico,<=50K
40,private,32214,assoc_acdm,married_civ_spouse,adm_clerical,husband,white,male,0,0,40,united_states,<=50K
67,unknown,212759,10th,married_civ_spouse,unknown,husband,white,male,0,0,2,united_states,<=50K
18,private,309634,11th,never_married,other_service,own_child,white,female,0,0,22,united_states,<=50K
31,local_gov,125927,7th_8th,married_civ_spouse,farming_fishing,husband,white,male,0,0,40,united_states,<=50K
18,private,446839,hs_grad,never_married,sales,not_in_family,white,male,0,0,30,united_states,<=50K
52,private,276515,bachelors,married_civ_spouse,other_service,husband,white,male,0,0,40,cuba,<=50K
46,private,51618,hs_grad,married_civ_spouse,other_service,wife,white,female,0,0,40,united_states,<=50K
59,private,159937,hs_grad,married_civ_spouse,sales,husband,white,male,0,0,48,united_states,<=50K
44,private,343591,hs_grad,divorced,craft_repair,not_in_family,white,female,14344,0,40,united_states,>50K
53,private,346253,hs_grad,divorced,sales,own_child,white,female,0,0,35,united_states,<=50K
49,local_gov,268234,hs_grad,married_civ_spouse,protective_serv,husband,white,male,0,0,40,united_states,>50K
33,private,202051,masters,married_civ_spouse,prof_specialty,husband,white,male,0,0,50,united_states,<=50K
30,private,54334,9th,never_married,sales,not_in_family,white,male,0,0,40,united_states,<=50K
43,federal_gov,410867,doctorate,never_married,prof_specialty,not_in_family,white,female,0,0,50,united_states,>50K
57,private,249977,assoc_voc,married_civ_spouse,prof_specialty,husband,white,male,0,0,40,united_states,<=50K
37,private,286730,some_college,divorced,craft_repair,unmarried,white,female,0,0,40,united_states,<=50K
28,private,212563,some_college,divorced,machine_op_inspct,unmarried,black,female,0,0,25,united_states,<=50K
30,private,117747,hs_grad,married_civ_spouse,sales,wife,asian_pac_islander,female,0,1573,35,unknown,<=50K
34,local_gov,226296,bachelors,married_civ_spouse,protective_serv,husband,white,male,0,0,40,united_states,>50K
29,local_gov,115585,some_college,never_married,handlers_cleaners,not_in_family,white,male,0,0,50,united_states,<=50K
48,self_emp_not_inc,191277,doctorate,married_civ_spouse,prof_specialty,husband,white,male,0,1902,60,united_states,>50K
37,private,202683,some_college,married_civ_spouse,sales,husband,white,male,0,0,48,united_states,>50K
48,private,171095,assoc_acdm,divorced,exec_managerial,unmarried,white,female,0,0,40,england,<=50K
32,federal_gov,249409,hs_grad,never_married,other_service,own_child,black,male,0,0,40,united_states,<=50K
76,private,124191,masters,married_civ_spouse,exec_managerial,husband,white,male,0,0,40,united_states,>50K
44,private,198282,bachelors,married_civ_spouse,exec_managerial,husband,white,male,15024,0,60,united_states,>50K
47,self_emp_not_inc,149116,masters,never_married,prof_specialty,not_in_family,white,female,0,0,50,united_states,<=50K
20,private,188300,some_college,never_married,tech_support,own_child,white,female,0,0,40,united_states,<=50K
29,private,103432,hs_grad,never_married,craft_repair,not_in_family,white,male,0,0,40,united_states,<=50K
32,self_emp_inc,317660,hs_grad,married_civ_spouse,craft_repair,husband,white,male,7688,0,40,united_states,>50K
17,unknown,304873,10th,never_married,unknown,own_child,white,female,34095,0,32,united_states,<=50K
30,private,194901,11th,never_married,handlers_cleaners,own_child,white,male,0,0,40,united_states,<=50K
31,local_gov,189265,hs_grad,never_married,adm_clerical,not_in_family,white,female,0,0,40,united_states,<=50K
42,private,124692,hs_grad,married_civ_spouse,handlers_cleaners,husband,white,male,0,0,40,united_states,<=50K
24,private,432376,bachelors,never_married,sales,other_relative,white,male,0,0,40,united_states,<=50K
38,private,65324,prof_school,married_civ_spouse,prof_specialty,husband,white,male,0,0,40,united_states,>50K
56,self_emp_not_inc,335605,hs_grad,married_civ_spouse,other_service,husband,white,male,0,1887,50,canada,>50K
28,private,377869,some_college,married_civ_spouse,sales,wife,white,female,4064,0,25,united_states,<=50K
36,private,102864,hs_grad,never_married,machine_op_inspct,own_child,white,female,0,0,40,united_states,<=50K
53,private,95647,9th,married_civ_spouse,handlers_cleaners,husband,white,male,0,0,50,united_states,<=50K
56,self_emp_inc,303090,some_college,married_civ_spouse,sales,husband,white,male,0,0,50,united_states,<=50K
49,local_gov,197371,assoc_voc,married_civ_spouse,craft_repair,husband,black,male,0,0,40,united_states,>50K
55,private,247552,some_college,married_civ_spouse,sales,husband,white,male,0,0,56,united_states,<=50K
22,private,102632,hs_grad,never_married,craft_repair,not_in_family,white,male,0,0,41,united_states,<=50K
21,private,199915,some_college,never_married,other_service,own_child,white,female,0,0,40,united_states,<=50K
40,private,118853,bachelors,married_civ_spouse,exec_managerial,husband,white,male,0,0,60,united_states,<=50K
30,private,77143,bachelors,never_married,exec_managerial,own_child,black,male,0,0,40,germany,<=50K
29,state_gov,267989,bachelors,married_civ_spouse,prof_specialty,husband,white,male,0,0,50,united_states,>50K
19,private,301606,some_college,never_married,other_service,own_child,black,male,0,0,35,united_states,<=50K
47,private,287828,bachelors,married_civ_spouse,exec_managerial,wife,white,female,0,0,40,united_states,>50K
20,private,111697,some_college,never_married,adm_clerical,own_child,white,female,0,1719,28,united_states,<=50K
31,private,114937,assoc_acdm,married_civ_spouse,adm_clerical,husband,white,male,0,0,40,united_states,>50K
35,unknown,129305,hs_grad,married_civ_spouse,unknown,husband,white,male,0,0,40,united_states,<=50K
39,private,365739,some_college,divorced,craft_repair,not_in_family,white,male,0,0,40,united_states,<=50K
28,private,69621,assoc_acdm,never_married,sales,not_in_family,white,female,0,0,60,united_states,<=50K
24,private,43323,hs_grad,never_married,other_service,not_in_family,white,female,0,1762,40,united_states,<=50K
38,self_emp_not_inc,120985,hs_grad,married_civ_spouse,craft_repair,husband,white,male,4386,0,35,united_states,<=50K
37,private,254202,bachelors,married_civ_spouse,sales,husband,white,male,0,0,50,united_states,<=50K
46,private,146195,assoc_acdm,divorced,tech_support,not_in_family,black,female,0,0,36,united_states,<=50K
38,federal_gov,125933,masters,married_civ_spouse,prof_specialty,husband,white,male,0,0,40,iran,>50K
43,self_emp_not_inc,56920,hs_grad,married_civ_spouse,craft_repair,husband,white,male,0,0,60,united_states,<=50K
27,private,163127,assoc_voc,married_civ_spouse,adm_clerical,wife,white,female,0,0,35,united_states,<=50K
20,private,34310,some_college,never_married,sales,own_child,white,male,0,0,20,united_states,<=50K
49,private,81973,some_college,married_civ_spouse,craft_repair,husband,asian_pac_islander,male,0,0,40,united_states,>50K
61,self_emp_inc,66614,hs_grad,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,<=50K
27,private,232782,some_college,never_married,sales,own_child,white,female,0,0,40,united_states,<=50K
19,private,316868,some_college,never_married,other_service,own_child,white,male,0,0,30,mexico,<=50K
45,private,196584,assoc_voc,never_married,prof_specialty,not_in_family,white,female,0,1564,40,united_states,>50K
70,private,105376,some_college,never_married,tech_support,other_relative,white,male,0,0,40,united_states,<=50K
31,private,185814,hs_grad,never_married,transport_moving,unmarried,black,female,0,0,30,united_states,<=50K
22,private,175374,some_college,married_civ_spouse,other_service,husband,white,male,0,0,24,united_states,<=50K
36,private,108293,hs_grad,widowed,other_service,unmarried,white,female,0,0,24,united_states,<=50K
64,private,181232,11th,married_civ_spouse,craft_repair,husband,white,male,0,2179,40,united_states,<=50K
43,unknown,174662,some_college,divorced,unknown,not_in_family,white,female,0,0,40,united_states,<=50K
47,local_gov,186009,some_college,divorced,adm_clerical,unmarried,white,female,0,0,38,mexico,<=50K
34,private,198183,hs_grad,never_married,adm_clerical,not_in_family,white,female,0,0,40,united_states,<=50K
33,private,163003,bachelors,never_married,exec_managerial,other_relative,asian_pac_islander,female,0,0,40,philippines,<=50K
21,private,296158,hs_grad,never_married,craft_repair,own_child,white,male,0,0,35,united_states,<=50K
52,unknown,252903,hs_grad,divorced,unknown,not_in_family,white,male,0,0,45,united_states,>50K
48,private,187715,hs_grad,married_civ_spouse,craft_repair,husband,white,male,0,0,46,united_states,<=50K
23,private,214542,bachelors,never_married,handlers_cleaners,not_in_family,white,male,0,0,40,united_states,<=50K
71,self_emp_not_inc,494223,some_college,separated,sales,unmarried,black,male,0,1816,2,united_states,<=50K
29,private,191535,hs_grad,divorced,craft_repair,not_in_family,white,male,0,0,60,united_states,<=50K
42,private,228456,bachelors,separated,other_service,other_relative,black,male,0,0,50,united_states,<=50K
68,unknown,38317,1st_4th,divorced,unknown,not_in_family,white,female,0,0,20,united_states,<=50K
25,private,252752,hs_grad,never_married,other_service,unmarried,white,female,0,0,40,united_states,<=50K
44,self_emp_inc,78374,masters,divorced,exec_managerial,unmarried,asian_pac_islander,female,0,0,40,united_states,<=50K
28,private,88419,hs_grad,never_married,exec_managerial,not_in_family,asian_pac_islander,female,0,0,40,england,<=50K
45,self_emp_not_inc,201080,masters,married_civ_spouse,sales,husband,white,male,0,0,40,united_states,>50K
36,private,207157,some_college,divorced,other_service,unmarried,white,female,0,0,40,mexico,<=50K
39,federal_gov,235485,assoc_acdm,never_married,exec_managerial,not_in_family,white,male,0,0,42,united_states,<=50K
46,state_gov,102628,masters,widowed,protective_serv,unmarried,white,male,0,0,40,united_states,<=50K
18,private,25828,11th,never_married,handlers_cleaners,own_child,white,male,0,0,16,united_states,<=50K
66,local_gov,54826,assoc_voc,widowed,prof_specialty,not_in_family,white,female,0,0,20,united_states,<=50K
27,private,124953,hs_grad,never_married,other_service,not_in_family,white,male,0,1980,40,united_states,<=50K
28,state_gov,175325,hs_grad,married_civ_spouse,protective_serv,husband,white,male,0,0,40,united_states,<=50K
51,private,96062,some_college,married_civ_spouse,sales,husband,white,male,0,1977,40,united_states,>50K
27,private,428030,bachelors,never_married,craft_repair,not_in_family,white,male,0,0,50,united_states,<=50K
28,state_gov,149624,bachelors,married_civ_spouse,prof_specialty,husband,white,male,0,0,40,united_states,>50K
27,private,253814,hs_grad,married_spouse_absent,sales,unmarried,white,female,0,0,25,united_states,<=50K
21,private,312956,hs_grad,never_married,craft_repair,own_child,black,male,0,0,40,united_states,<=50K
34,private,483777,hs_grad,never_married,handlers_cleaners,not_in_family,black,male,0,0,40,united_states,<=50K
18,private,183930,hs_grad,never_married,other_service,own_child,white,male,0,0,12,united_states,<=50K
33,private,37274,bachelors,married_civ_spouse,prof_specialty,husband,white,male,0,0,65,united_states,<=50K
44,local_gov,181344,some_college,married_civ_spouse,exec_managerial,husband,black,male,0,0,38,united_states,>50K
43,private,114580,some_college,divorced,adm_clerical,not_in_family,white,female,0,0,40,united_states,<=50K
30,private,633742,some_college,never_married,craft_repair,not_in_family,black,male,0,0,45,united_states,<=50K
40,private,286370,7th_8th,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,40,mexico,>50K
37,federal_gov,29054,some_college,married_civ_spouse,adm_clerical,husband,white,male,0,0,42,united_states,>50K
34,private,304030,hs_grad,married_civ_spouse,adm_clerical,husband,black,male,0,0,40,united_states,<=50K
41,self_emp_not_inc,143129,bachelors,divorced,exec_managerial,not_in_family,white,female,0,0,40,united_states,<=50K
53,unknown,135105,bachelors,divorced,unknown,not_in_family,white,female,0,0,50,united_states,<=50K
31,private,99928,masters,married_civ_spouse,prof_specialty,wife,white,female,0,0,50,united_states,<=50K
58,state_gov,109567,doctorate,married_civ_spouse,prof_specialty,husband,white,male,0,0,1,united_states,>50K
38,private,155222,some_college,divorced,machine_op_inspct,not_in_family,black,female,0,0,28,united_states,<=50K
